ticker,name,exchange,tags,num_listed_shares
038340.KS,MIT,KOSDAQ,투자주의환기종목(소속부없음),"12,734,298"
144960.KS,뉴파워프라즈마,KOSDAQ,투자주의환기종목(소속부없음),"43,692,624"
141020.KS,디에스앤엘,KOSDAQ,투자주의환기종목(소속부없음),"32,802,132"
196490.KS,디에이테크놀로지,KOSDAQ,투자주의환기종목(소속부없음),"26,795,598"
257370.KS,명성티엔에스,KOSDAQ,투자주의환기종목(소속부없음),"7,726,156"
299910.KS,베스파,KOSDAQ,투자주의환기종목(소속부없음),"8,206,916"
082800.KS,비보존 제약,KOSDAQ,투자주의환기종목(소속부없음),"234,043,081"
036630.KS,세종텔레콤,KOSDAQ,투자주의환기종목(소속부없음),"270,000,000"
139050.KS,시티랩스,KOSDAQ,투자주의환기종목(소속부없음),"106,098,527"
058220.KS,아리온,KOSDAQ,투자주의환기종목(소속부없음),"38,974,244"
117670.KS,알파홀딩스,KOSDAQ,투자주의환기종목(소속부없음),"31,714,259"
263540.KS,어스앤에어로스페이스,KOSDAQ,투자주의환기종목(소속부없음),"7,733,747"
121890.KS,에스디시스템,KOSDAQ,투자주의환기종목(소속부없음),"12,686,120"
214310.KS,에스엘바이오닉스,KOSDAQ,투자주의환기종목(소속부없음),"73,582,603"
096690.KS,에이루트,KOSDAQ,투자주의환기종목(소속부없음),"160,983,948"
208860.KS,엔지스테크널러지,KOSDAQ,투자주의환기종목(소속부없음),"11,443,863"
227950.KS,엔투텍,KOSDAQ,투자주의환기종목(소속부없음),"100,301,731"
050540.KS,엠피씨플러스,KOSDAQ,투자주의환기종목(소속부없음),"5,118,559"
048260.KS,오스템임플란트,KOSDAQ,투자주의환기종목(소속부없음),"14,934,386"
263770.KS,유에스티,KOSDAQ,투자주의환기종목(소속부없음),"23,700,172"
083470.KS,이엠앤아이,KOSDAQ,투자주의환기종목(소속부없음),"20,743,618"
068330.KS,일신바이오,KOSDAQ,투자주의환기종목(소속부없음),"44,216,140"
174880.KS,장원테크,KOSDAQ,투자주의환기종목(소속부없음),"21,906,325"
058420.KS,제이웨이,KOSDAQ,투자주의환기종목(소속부없음),"3,610,839"
052670.KS,제일바이오,KOSDAQ,투자주의환기종목(소속부없음),"29,129,064"
033340.KS,좋은사람들,KOSDAQ,투자주의환기종목(소속부없음),"96,950,558"
051980.KS,중앙디앤엠,KOSDAQ,투자주의환기종목(소속부없음),"36,665,229"
